Data_de_firma,AgreementId,Region,Country,DaysInc,1000/dies_entre_acords,Year,Month,no.d'acords_de_pau_signats
15/02/1990,431,Cross-regional,Argentina/United Kingdom,2050,0.487804878,1990,2,2
01/03/1990,295,Asia and Pacific,Papua New Guinea/Bougainville,157,6.369426752,1990,3,139
09/03/1990,168,Americas,Colombia,170,5.882352941,1990,3,106
23/03/1990,589,Americas,Nicaragua,26,38.46153846,1990,3,5
30/03/1990,309,Americas,Guatemala,63,15.87301587,1990,3,12
03/04/1990,887,Americas,Costa Rica/El Salvador/Guatemala/Honduras/Nicaragua,11575.9872,0.086385721,1990,4,1
04/04/1990,393,Americas,El Salvador,47,21.27659574,1990,4,16
18/04/1990,375,Americas,Nicaragua,42,23.80952381,1990,4,5
22/04/1990,264,Middle East and North Africa,Yemen,1530,0.653594771,1990,4,33
04/05/1990,395,Africa (excl MENA),South Africa,94,10.63829787,1990,5,146
21/05/1990,387,Americas,El Salvador,66,15.15151515,1990,5,16
30/05/1990,578,Americas,Nicaragua,856,1.168224299,1990,5,5
01/06/1990,704,Americas,Guatemala,329,3.039513678,1990,6,12
18/06/1990,1247,Middle East and North Africa,Morocco/(Western Sahara),315,3.174603175,1990,6,11
10/07/1990,419,Africa (excl MENA),Mozambique,144,6.944444444,1990,7,12
26/07/1990,265,Americas,El Salvador,275,3.636363636,1990,7,16
05/08/1990,377,Asia and Pacific,Papua New Guinea/Bougainville,61,16.39344262,1990,8,139
06/08/1990,490,Africa (excl MENA),South Africa,78,12.82051282,1990,8,146
07/08/1990,1305,Africa (excl MENA),Liberia,78,12.82051282,1990,8,26
26/08/1990,920,Americas,Colombia,19,52.63157895,1990,8,106
28/08/1990,1332,Asia and Pacific,Cambodia,421,2.375296912,1990,8,3
12/09/1990,1887,Cross-regional,France/Germany/Russia/United Kingdom/United States of America,11413.9872,0.087611803,1990,9,1
14/09/1990,1097,Americas,Colombia,14,71.42857143,1990,9,106
28/09/1990,1089,Americas,Colombia,12,83.33333333,1990,9,106
05/10/1990,1017,Asia and Pacific,Papua New Guinea/Bougainville,110,9.090909091,1990,10,139
10/10/1990,1090,Americas,Colombia,11,90.90909091,1990,10,106
21/10/1990,1099,Americas,Colombia,68,14.70588235,1990,10,106
23/10/1990,1272,Africa (excl MENA),South Africa,98,10.20408163,1990,10,146
24/10/1990,635,Africa (excl MENA),Liberia,35,28.57142857,1990,10,26
28/11/1990,634,Africa (excl MENA),Liberia,23,43.47826087,1990,11,26
01/12/1990,256,Africa (excl MENA),Mozambique,178,5.617977528,1990,12,12
21/12/1990,633,Africa (excl MENA),Liberia,54,18.51851852,1990,12,26
28/12/1990,1094,Americas,Colombia,13,76.92307692,1990,12,106
06/01/1991,206,Africa (excl MENA),Mali/Azawad,461,2.169197397,1991,1,34
10/01/1991,1091,Americas,Colombia,19,52.63157895,1991,1,106
23/01/1991,570,Asia and Pacific,Papua New Guinea/Bougainville,1312,0.762195122,1991,1,139
29/01/1991,1092,Americas,Colombia,17,58.82352941,1991,1,106
29/01/1991,220,Africa (excl MENA),South Africa,14,71.42857143,1991,1,146
12/02/1991,348,Africa (excl MENA),South Africa,185,5.405405405,1991,2,146
13/02/1991,1041,Africa (excl MENA),Liberia,16,62.5,1991,2,26
15/02/1991,149,Americas,Colombia,19,52.63157895,1991,2,106
01/03/1991,1242,Africa (excl MENA),Liberia,48,20.83333333,1991,3,26
06/03/1991,1098,Americas,Colombia,72,13.88888889,1991,3,106
29/03/1991,1720,Africa (excl MENA),Senegal/Casamance,5025,0.199004975,1991,3,3
03/04/1991,538,Middle East and North Africa,Iraq/Kuwait,11210.9872,0.089198211,1991,4,1
06/04/1991,1522,Asia and Pacific,India/Pakistan,2727,0.366703337,1991,4,42
18/04/1991,1312,Africa (excl MENA),Liberia,73,13.69863014,1991,4,26
26/04/1991,289,Americas,Guatemala,90,11.11111111,1991,4,12
27/04/1991,456,Americas,El Salvador,151,6.622516556,1991,4,16
29/04/1991,118,Middle East and North Africa,Morocco/(Western Sahara),11184.9872,0.089405556,1991,4,11
16/05/1991,1740,Cross-regional,China/Russia,1206,0.829187396,1991,5,10
17/05/1991,158,Americas,Colombia,10,100,1991,5,106
17/05/1991,1248,Africa (excl MENA),Namibia/South Africa,314,3.184713376,1991,5,4
22/05/1991,1018,Middle East and North Africa,Lebanon/Syria,8476,0.117980179,1991,5,5
27/05/1991,151,Americas,Colombia,10,100,1991,5,106
28/05/1991,46,Africa (excl MENA),Mozambique,143,6.993006993,1991,5,12
31/05/1991,207,Africa (excl MENA),Angola,731,1.367989056,1991,5,12
06/06/1991,166,Americas,Colombia,9,111.1111111,1991,6,106
15/06/1991,1100,Americas,Colombia,16,62.5,1991,6,106
30/06/1991,38,Africa (excl MENA),Liberia,29,34.48275862,1991,6,26
01/07/1991,163,Americas,Colombia,18,55.55555556,1991,7,106
02/07/1991,1228,Europe and Eurasia,Slovenia/Yugoslavia (former),11120.9872,0.089920075,1991,7,1
13/07/1991,1229,Europe and Eurasia,Croatia/Slovenia/Yugoslavia (former),11109.9872,0.090009105,1991,7,29
19/07/1991,1102,Americas,Colombia,49,20.40816327,1991,7,106
22/07/1991,1300,Africa (excl MENA),Ethiopia,11100.9872,0.090082078,1991,7,24
25/07/1991,383,Americas,Guatemala,900,1.111111111,1991,7,12
29/07/1991,39,Africa (excl MENA),Liberia,50,20,1991,7,26
16/08/1991,449,Africa (excl MENA),South Africa,29,34.48275862,1991,8,146
01/09/1991,1647,Europe and Eurasia,Croatia/Yugoslavia (former),21,47.61904762,1991,9,29
06/09/1991,1103,Americas,Colombia,65,15.38461538,1991,9,106
14/09/1991,462,Africa (excl MENA),South Africa,98,10.20408163,1991,9,146
17/09/1991,40,Africa (excl MENA),Liberia,43,23.25581395,1991,9,26
22/09/1991,1450,Europe and Eurasia,Croatia/Yugoslavia (former),26,38.46153846,1991,9,29
